transaction_id,date,customer_id,corridor,agent_id,agent_name,amount_aed,fee_aed,payment_method,status
TXN00549,2024-01-01,CUS0134,India,AGT004,Maria Santos,1333.61,25,Cash,SUCCESS
TXN04772,2024-01-01,CUS0540,Bangladesh,AGT002,Priya Sharma,495.29,15,Cash,SUCCESS
TXN02842,2024-01-01,CUS0769,Philippines,AGT004,Maria Santos,490.51,20,Bank Transfer,SUCCESS
TXN00981,2024-01-01,CUS0464,Bangladesh,AGT003,Mohammad Raza,865.02,15,Cash,SUCCESS
TXN00817,2024-01-01,CUS0353,Philippines,AGT003,Mohammad Raza,972.1,20,Card,SUCCESS
TXN01806,2024-01-01,CUS0484,Philippines,AGT004,Maria Santos,472.28,20,Bank Transfer,SUCCESS
TXN01822,2024-01-01,CUS0359,India,AGT003,Mohammad Raza,1227.67,25,Card,SUCCESS
TXN04296,2024-01-01,CUS0581,Nepal,AGT007,Rajesh Kumar,325.11,12,Card,SUCCESS
TXN04904,2024-01-01,CUS0547,India,AGT005,John Mathew,1065.62,25,Card,SUCCESS
TXN03150,2024-01-01,CUS0112,Pakistan,AGT008,Sarah Johnson,584.81,18,Card,SUCCESS
TXN04380,2024-01-01,CUS0299,India,AGT006,Fatima Al Zaabi,920.46,25,Cash,SUCCESS
TXN02208,2024-01-01,CUS0264,India,AGT008,Sarah Johnson,1328.02,25,Card,SUCCESS
TXN02748,2024-01-02,CUS0387,Pakistan,AGT004,Maria Santos,523.76,18,Cash,SUCCESS
TXN03187,2024-01-02,CUS0033,India,AGT003,Mohammad Raza,769.16,25,Cash,SUCCESS
TXN01511,2024-01-02,CUS0743,Philippines,AGT007,Rajesh Kumar,591.74,20,Bank Transfer,SUCCESS
TXN00022,2024-01-02,CUS0513,Kenya,AGT005,John Mathew,885.65,20,Card,SUCCESS
TXN02383,2024-01-02,CUS0216,Philippines,AGT004,Maria Santos,992.82,20,Cash,SUCCESS
TXN03627,2024-01-02,CUS0394,India,AGT002,Priya Sharma,899.64,25,Card,SUCCESS
TXN02338,2024-01-02,CUS0788,Pakistan,AGT007,Rajesh Kumar,811.95,18,Bank Transfer,SUCCESS
TXN00663,2024-01-02,CUS0561,India,AGT005,John Mathew,1188.21,25,Card,SUCCESS
TXN03771,2024-01-02,CUS0373,Philippines,AGT008,Sarah Johnson,1170.49,20,Bank Transfer,SUCCESS
TXN02032,2024-01-02,CUS0121,India,AGT006,Fatima Al Zaabi,849.52,25,Card,SUCCESS
TXN02651,2024-01-02,CUS0798,Kenya,AGT002,Priya Sharma,691.29,20,Card,SUCCESS
TXN00639,2024-01-02,CUS0114,India,AGT002,Priya Sharma,735.61,25,Card,SUCCESS
TXN04185,2024-01-02,CUS0593,India,AGT007,Rajesh Kumar,1027.65,25,Cash,SUCCESS
TXN02547,2024-01-02,CUS0446,India,AGT005,John Mathew,704.06,25,Card,SUCCESS
TXN04441,2024-01-02,CUS0545,Nepal,AGT005,John Mathew,355.75,12,Cash,SUCCESS
TXN03716,2024-01-02,CUS0780,India,AGT002,Priya Sharma,1143.06,25,Cash,SUCCESS
TXN04222,2024-01-03,CUS0550,Egypt,AGT005,John Mathew,1378.78,22,Bank Transfer,SUCCESS
TXN04896,2024-01-03,CUS0260,India,AGT007,Rajesh Kumar,1196.46,25,Cash,SUCCESS
TXN02953,2024-01-03,CUS0085,Pakistan,AGT008,Sarah Johnson,912.0,18,Card,SUCCESS
